William &amp; Mary|70|Liberty|59
Oakland City|69|Lipscomb|96
Texas-Arlington|68|Louisiana Tech|80
Dartmouth|63|Marist|73
Louisiana Col.|73|McNeese St.|70
Kenyon|47|Miami (OH)|68
Middle Tenn.|65|Murray St.|76
UMKC|89|Neb.-Omaha|95
Washington Adventist|58|Norfolk St.|78
Chowan|60|UNC Greensboro|81
Wentworth|62|Northeastern|91
Colo. Christian|70|Northern Colo.|85
Stephen F. Austin|60|UNI|70
Tiffin|71|Northern Ky.|83
Milwaukee|78|Notre Dame|86
Grambling|55|Ohio St.|82
Iona|73|Oregon St.|93
Cal St. Fullerton|77|Pacific|76
DePaul|62|Penn St.|68
St. Joseph's (IN)|43|Pittsburgh|84
Valparaiso|58|Rhode Island|55
Westminster|72|St. Francis (PA)|103
St. Thomas (TX)|92|Sam Houston St.|114
Jackson St.|78|Southern Miss.|60
Mt. St. Vincent|67|St. Francis (NY)|93
St. Bonaventure|66|Syracuse|79
Wichita St.|67|Tulsa|77
Adams St.|68|Utah St.|83
Tusculum|76|VMI|88
Ill.-Chicago|57|Western Ill.|84
San Diego|62|Western Mich.|74
Truett-McConnell|78|Winthrop|106
North Dakota|64|Wisconsin|78
Wofford|58|North Carolina|78
Incarnate Word|61|Purdue|96
Kennesaw St.|53|Arizona St.|91
Akron|88|Arkansas|80
Centenary (LA)|49|UALR|95
IPFW|80|Austin Peay|77
Western Ky.|85|Belmont|90
Cincinnati|83|Bowling Green|50
Emerson|69|Bryant|82
Cal St. Monterey Bay|62|Cal Poly|71
Vanguard|52|Cal St. Northridge|72
Fresno Pacific|46|UC-Davis|76
UC-Irvine|61|UCF|60
Johnson &amp; Wales (NC)|65|Charleston So.|97
Indiana-Northwest|64|Chicago St.|105
Grace Bible|67|Coastal Caro.|104
Goldey-Beacom|73|Coppin St.|80
Binghamton|59|Cornell|76
Utah Valley|62|Denver|75
High Point|75|Drexel|66
Seattle|70|Eastern Wash.|76
Belmont Abbey|57|Elon|84
